rep_n,treatment,colony,tracking_system,treat_TS_colony,exp_start
1,DF,c05,alleline,DF_alleline_c05,2022-10-31T08:00:00.428423438Z
7,NF,c11,alleline,NF_alleline_c11,2022-12-05T20:00:00.103933508Z
3,DF,c15,alleline,DF_alleline_c15,2022-11-14T08:00:11.525017382Z
5,NS,c17,alleline,NS_alleline_c17,2022-11-21T20:00:00.960495651Z
9,DS,c49,alleline,DS_alleline_c49,2022-12-12T08:00:00.072260785Z
2,NS,c50,alleline,NS_alleline_c50,2022-11-07T20:00:00.088283268Z
11,DF,c57,alleline,DF_alleline_c57,2022-12-19T08:00:00.047444411Z
3,NS,c08,guillam,NS_guillam_c08,2022-11-15T20:00:00.460388061Z
7,DS,c19,guillam,DS_guillam_c19,2022-12-06T08:00:00.450403212Z
12,NF,c39,guillam,NF_guillam_c39,2022-12-20T20:00:10.391358574Z
9,NF,c65,guillam,NF_guillam_c65,2022-12-13T20:00:00.666548575Z
1,NS,c04,haydon,NS_haydon_c04,2022-11-01T20:00:00.688054310Z
2,DF,c16,haydon,DF_haydon_c16,2022-11-08T08:04:42.205220638Z
3,DS,c23,haydon,DS_haydon_c23,2022-11-15T08:00:00.138880906Z
12,DS,c34,haydon,DS_haydon_c34,2022-12-20T08:00:00.144403858Z
5,NF,c35,haydon,NF_haydon_c35,2022-11-22T20:07:34.308587587Z
7,NS,c48,haydon,NS_haydon_c48,2022-12-06T20:34:03.213602667Z
6,DF,c66,haydon,DF_haydon_c66,2022-11-29T08:00:00.978997610Z
1,DS,c13,karla,DS_karla_c13,2022-11-01T09:53:04.400663158Z
11,DS,c25,karla,DS_karla_c25,2022-12-20T08:00:00.911686250Z
10,DF,c28,karla,DF_karla_c28,2022-12-13T08:00:00.103283431Z
2,NF,c29,karla,NF_karla_c29,2022-11-08T20:00:00.947383981Z
5,DF,c45,karla,DF_karla_c45,2022-11-22T08:04:43.331678602Z
4,DS,c52,karla,DS_karla_c52,2022-11-15T08:00:00.368964729Z
6,NF,c60,karla,NF_karla_c60,2022-11-29T20:01:58.962857794Z
8,NS,c67,karla,NS_karla_c67,2022-12-06T20:32:07.169920500Z
4,NS,c36,leamas,NS_leamas_c36,2022-11-15T20:00:00.719518049Z
8,DS,c61,leamas,DS_leamas_c61,2022-12-06T08:00:00.144675065Z
2,DS,c02,polyakov,DS_polyakov_c02,2022-11-07T08:00:00.302440548Z
10,DS,c37,polyakov,DS_polyakov_c37,2022-12-12T08:00:00.936499239Z
8,NF,c38,polyakov,NF_polyakov_c38,2022-12-05T20:00:00.291624646Z
5,DS,c46,polyakov,DS_polyakov_c46,2022-11-21T08:00:50.012365123Z
6,NS,c58,polyakov,NS_polyakov_c58,2022-11-28T20:00:00.568050411Z
12,DF,c62,polyakov,DF_polyakov_c62,2022-12-19T08:00:00.702038581Z
1,NF,c68,polyakov,NF_polyakov_c68,2022-10-31T20:00:00.182915892Z
4,DF,c69,polyakov,DF_polyakov_c69,2022-11-14T08:00:37.129063959Z
10,NS,c03,prideaux,NS_prideaux_c03,2022-12-12T20:00:00.064713919Z
4,NF,c32,prideaux,NF_prideaux_c32,2022-11-14T20:00:00.071127614Z
8,DF,c42,prideaux,DF_prideaux_c42,2022-12-05T08:01:56.472733603Z
11,NS,c56,prideaux,NS_prideaux_c56,2022-12-20T20:00:00.866916377Z
11,NF,c09,trojan,NF_trojan_c09,2022-12-19T20:00:00.906221139Z
3,NF,c10,trojan,NF_trojan_c10,2022-11-14T20:00:00.835145457Z
7,DF,c20,trojan,DF_trojan_c20,2022-12-05T08:03:41.367948407Z
9,NS,c40,trojan,NS_trojan_c40,2022-12-12T20:00:00.029170394Z
